product_id,product_name,category,price
101,Wireless Headphones,Electronics,79.99
102,Running Shoes,Footwear,59.99
103,Yoga Mat,Fitness,29.99
104,Coffee Maker,Kitchen,49.99
105,Backpack,Accessories,39.99
106,Smartwatch,Electronics,199.99
107,Protein Powder,Health,34.99
108,Desk Lamp,Home Office,24.99
109,Bluetooth Speaker,Electronics,89.99
110,Water Bottle,Fitness,19.99
111,Sunglasses,Accessories,44.99
112,Laptop Stand,Home Office,35.99
113,Resistance Bands,Fitness,14.99
114,Air Purifier,Home,129.99
115,Cookbook,Books,22.99
116,Gaming Mouse,Electronics,49.99
117,Foam Roller,Fitness,24.99
118,Electric Kettle,Kitchen,39.99
119,Hiking Boots,Footwear,89.99
120,Tote Bag,Accessories,29.99
121,Noise Cancelling Earbuds,Electronics,149.99
122,Dumbbell Set,Fitness,69.99
123,Blender,Kitchen,59.99
124,Office Chair Cushion,Home Office,44.99
125,Thriller Novel,Books,14.99
126,USB-C Hub,Electronics,34.99
127,Jump Rope,Fitness,9.99
128,Toaster Oven,Kitchen,79.99
129,Chelsea Boots,Footwear,109.99
130,Wallet,Accessories,24.99
131,Smart Bulb Set,Electronics,54.99
132,Ab Wheel,Fitness,19.99
133,Rice Cooker,Kitchen,44.99
134,Monitor Riser,Home Office,29.99
135,Science Fiction Novel,Books,12.99
136,Wireless Charger,Electronics,29.99
137,Kettlebell 10kg,Fitness,34.99
138,Non-Stick Pan,Kitchen,54.99
139,Slip-On Sneakers,Footwear,49.99
140,Belt,Accessories,19.99
141,Action Camera,Electronics,249.99
142,Pull-Up Bar,Fitness,39.99
143,Instant Pot,Kitchen,99.99
144,Standing Desk Mat,Home Office,54.99
145,Self-Help Book,Books,17.99
146,Tablet Stylus,Electronics,24.99
147,Pilates Ball,Fitness,15.99
148,Cast Iron Skillet,Kitchen,34.99
149,Sandals,Footwear,39.99
150,Crossbody Bag,Accessories,54.99
151,Smart Thermostat,Electronics,179.99
152,Battle Rope,Fitness,79.99
153,Espresso Machine,Kitchen,149.99
154,Ergonomic Keyboard,Home Office,89.99
155,Graphic Novel,Books,19.99
156,Portable Charger,Electronics,39.99
157,Medicine Ball 5kg,Fitness,29.99
158,Knife Block Set,Kitchen,69.99
159,Trail Running Shoes,Footwear,119.99
